I,o,d
1,216,355
2,117,306
3,315,187
4,241,420
5,176,59
6,84,260
7,49,36
8,95,108
9,432,375
10,220,392
11,333,210
12,381,343
13,178,421
14,295,219
15,366,3
16,204,103
17,129,225
18,139,326
19,172,281
20,312,148
21,330,204
22,224,241
23,88,419
24,136,122
25,424,379
26,6,119
27,418,428
28,412,450
29,263,380
30,95,371
31,59,47
32,328,193
33,121,22
34,73,185
35,87,86
36,365,58
37,307,325
38,257,321
39,36,431
40,55,82
41,149,265
42,367,293
43,379,101
44,450,141
45,159,362
46,189,394
47,159,383
48,9,155
49,441,444
50,301,255
51,306,447
52,408,303
53,46,277
54,185,330
55,416,165
56,382,107
57,105,6
58,307,157
59,300,76
60,25,82
61,297,51
62,285,272
63,410,453
64,422,289
65,53,295
66,152,410
67,272,289
68,88,249
69,91,357
70,341,376
71,283,14
72,376,210
73,102,215
74,203,323
75,188,92
76,208,443
77,416,310
78,271,319
79,81,201
80,5,449
81,110,112
82,239,69
83,256,200
84,200,246
85,408,436
86,136,67
87,175,336
88,393,158
89,201,403
90,268,80
91,203,304
92,323,123
93,134,174
94,371,85
95,154,17
96,207,86
97,427,280
98,322,386
99,428,97
100,416,73
101,288,77
102,222,208
103,80,447
104,175,79
105,229,199
106,15,107
107,387,230
108,307,130
109,218,81
110,58,287
111,357,1
112,304,392
113,318,196
114,407,438
115,73,183
116,214,249
117,38,386
118,315,137
119,212,275
120,181,208
121,135,249
122,253,366
123,35,346
124,76,307
125,307,321
126,364,310
127,53,259
128,426,342
129,193,407
130,82,242
131,348,447
132,367,19
133,414,299
134,8,39
135,432,173
136,153,75
137,159,317
138,441,215
139,302,348
140,86,234
141,137,214
142,10,30
143,15,339
144,108,400
145,88,168
146,255,150
147,424,163
148,449,91
149,437,113
150,116,319
151,452,97
152,239,77
153,66,370
154,188,119
155,198,309
156,244,101
157,143,0
158,353,110
159,262,96
160,255,253
161,213,359
162,450,249
163,182,42
164,202,15
165,436,223
166,308,335
167,13,86
168,336,177
169,78,234
170,227,337
171,445,251
172,97,170
173,155,36
174,253,410
175,0,139
176,260,30
177,122,394
178,140,352
179,417,335
180,239,323
181,438,22
182,230,349
183,377,339
184,55,217
185,314,298
186,64,275
187,181,115
188,275,231
189,208,343
190,162,58
191,136,155
192,14,27
193,179,403
194,123,358
195,286,349
196,263,117
197,29,325
198,211,115
199,266,30
200,236,94
201,255,378
202,190,13
203,243,271
204,15,116
205,158,151
206,445,216
207,113,439
208,64,3
209,367,229
210,165,433
211,406,208
212,372,65
213,217,93
214,322,362
215,400,447
216,376,355
217,394,156
218,173,20
219,427,86
220,42,85
221,369,343
222,430,375
223,364,178
224,7,401
225,219,325
226,67,59
227,269,137
228,169,141
229,59,104
230,7,186
231,332,146
232,402,187
233,53,47
234,288,25
235,103,72
236,432,53
237,422,1
238,349,99
239,176,178
240,102,275
241,417,98
242,146,246
243,140,275
244,285,370
245,280,375
246,70,356
247,317,293
248,125,171
249,35,450
250,126,375
251,235,76
252,104,6
253,84,229
254,86,20
255,218,386
256,277,49
257,158,319
258,257,59
259,18,217
260,188,258
261,434,184
262,451,358
263,365,174
264,81,311
265,293,116
266,283,316
267,415,343
268,424,393
269,450,416
270,68,305
271,253,34
272,122,375
273,297,335
274,216,442
275,36,96
276,242,284
277,174,352
278,185,224
279,185,146
280,219,228
281,42,426
282,400,142
283,63,24
284,196,33
285,118,267
286,329,436
287,371,203
288,298,50
289,70,179
290,166,278
291,25,416
292,120,9
293,282,184
294,279,425
295,3,389
296,289,11
297,34,384
298,383,94
299,42,365
300,400,103
301,416,274
302,126,382
303,194,428
304,49,276
305,453,28
306,394,428
307,409,260
308,382,385
309,29,406
310,16,244
311,208,13
312,406,416
313,37,227
314,231,374
315,180,331
316,14,58
317,449,316
318,386,177
319,325,148
320,133,336
321,170,447
322,365,253
323,107,344
324,248,382
325,12,256
326,341,123
327,57,61
328,452,48
329,380,251
330,376,124
331,357,394
332,76,355
333,85,168
