Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1509966000,30.814,5.475,32.273,5.475,40.429,19.932
1509966060,29.814,4.475,31.273,4.475,39.429,18.932
1509966120,28.814,3.475,30.273,3.475,38.429,17.932
1509966180,27.814,2.475,29.273,2.475,37.429,16.932
1509966240,36.429,4.798,28.273,4.798,36.429,15.932
1509966300,35.429,3.798,27.273,3.798,35.429,14.932
1509966360,34.429,2.798,26.273,2.798,34.429,13.932
1509966420,33.429,1.798,25.273,1.798,33.429,12.932
1509966480,32.429,6.547,32.857,6.547,32.429,11.932
1509966540,31.429,5.547,31.857,5.547,31.429,10.932
1509966600,30.429,4.547,30.857,4.547,41.238,19.373
1509966660,29.429,3.547,29.857,3.547,40.238,18.373
1509966720,28.429,2.547,28.857,2.547,39.238,17.373
1509966780,27.429,4.221,27.857,4.221,38.238,16.373
1509966840,26.429,3.221,26.857,3.221,37.238,15.373
1509966900,25.429,2.221,25.857,2.221,36.238,14.373
1509966960,35.238,6.862,34.257,6.862,35.238,13.373
1509967020,34.238,5.862,33.257,5.862,34.238,12.373
1509967080,33.238,4.862,32.257,4.862,33.238,11.373
1509967140,32.238,3.862,31.257,3.862,43.568,19.795
1509967200,31.238,2.862,30.257,2.862,42.568,18.795
1509967260,30.238,1.862,29.257,1.862,41.568,17.795
1509967320,40.568,6.887,32.957,6.887,40.568,16.795
1509967380,39.568,5.887,31.957,5.887,39.568,15.795
1509967440,38.568,4.887,30.957,4.887,38.568,14.795
1509967500,37.568,3.887,29.957,3.887,37.568,13.795
1509967560,36.568,2.887,28.957,2.887,36.568,12.795
1509967620,35.568,1.887,27.957,1.887,35.568,11.795
1509967680,34.568,3.224,31.657,3.224,34.568,10.795
1509967740,33.568,2.224,30.657,2.224,43.015,19.046
1509967800,42.015,6.119,34.357,6.119,42.015,18.046
1509967860,41.015,5.119,33.357,5.119,41.015,17.046
