i,o,d,azimuth,arc,o_area,d_area,grid_dist
1,216,355,-114.288,12.5711,1.55574,1.57198,14.3165
2,117,306,-66.0343,4.55761,0.856662,0.696683,6.43215
3,315,187,69.9532,24.083,2.16993,1.01372,25.7649
4,241,420,-108.727,21.3043,1.16337,0.595007,22.4192
5,176,59,-146.726,25.4745,2.55333,1.29884,35.9349
6,84,260,22.7255,2.5652,2.02414,1.56686,3.60284
7,49,36,-173.93,14.058,2.11431,1.37207,18.29
8,95,108,8.36969,10.7842,2.22673,1.97088,14.2545
9,432,375,-133.83,18.9416,0.720339,0.739681,25.6365
10,220,392,-144.565,17.9137,1.55302,2.221,25.1887
11,333,210,27.7552,15.9648,0.442571,1.37166,22.5665
13,178,421,-72.8201,9.02933,0.841034,0.700186,12.5194
14,295,219,58.6295,25.8451,1.489,1.10468,31.8229
15,366,3,-55.3456,19.4802,0.411545,2.23449,27.4579
16,204,103,-95.5864,13.6193,1.25895,3.08273,15.8624
17,129,225,30.9006,22.195,0.559703,1.70418,31.3717
18,139,326,55.5086,15.6651,0.502924,1.63793,19.87
19,172,281,-119.387,9.15392,1.02292,0.94875,11.0606
20,312,148,97.7771,13.7303,1.37693,1.30889,18.1451
21,330,204,15.906,13.109,0.746428,1.25895,18.0335
22,224,241,163.752,6.92909,1.30501,1.16337,6.97859
23,88,419,118.274,4.93782,0.534714,0.499753,6.99448
24,136,122,-170.527,9.11974,1.87808,0.547299,12.1366
25,424,379,85.1801,2.46497,0.376448,0.55965,2.90195
26,6,119,-113.091,14.68,1.58318,0.594544,16.4554
27,418,428,-72.5855,8.2198,0.416824,1.51572,11.4085
28,412,450,-6.1512,8.79201,0.634269,1.27784,10.1421
29,263,380,-115.745,27.5428,2.75451,0.897464,31.973
30,95,371,-28.618,7.87587,2.22673,1.05725,9.41002
32,328,193,-160.393,14.2457,1.35958,1.10524,19.8528
33,121,22,-84.1964,11.7511,0.502345,1.64582,15.3023
34,73,185,56.3468,21.3909,2.8281,2.0957,26.9172
35,87,86,179.818,11.5785,1.61365,1.12296,14.2752
36,365,58,-89.4217,9.71478,0.591069,1.69359,12.1014
37,307,325,-138.618,14.2393,1.05525,1.40343,19.6925
38,257,321,-109.169,34.2138,2.53664,2.51098,36.2683
39,36,431,47.429,29.023,1.37207,0.860499,38.976
40,55,82,177.838,13.744,2.62349,1.05156,16.6084
41,149,265,99.0249,5.94425,2.86329,1.58783,7.91353
42,367,293,14.1206,11.9755,0.592287,2.59383,16.347
43,379,101,-174.542,2.15446,0.55965,0.833916,2.78922
44,450,141,-174.798,8.26976,1.27784,0.499072,10.6816
45,159,362,-162.852,17.2383,1.83512,0.616388,23.8316
46,189,394,-162.12,13.1808,2.34756,1.92365,18.2682
47,159,383,-166.851,16.457,1.83512,0.665325,22.3567
48,9,155,132.313,4.82222,2.0817,1.7136,6.64506
49,441,444,164.056,8.25459,1.83109,1.45182,8.25473
50,301,255,70.8636,30.055,1.24974,2.49985,31.7211
51,306,447,65.5046,15.7765,0.696683,1.37388,17.9783
53,46,277,-101.69,5.17255,1.16412,2.06588,5.55852
54,185,330,-165.881,18.3957,2.0957,0.746428,25.1023
55,416,165,108.019,2.95001,0.583255,0.482888,4.10295
57,105,6,74.7709,14.9774,1.05872,1.58318,15.1947
58,307,157,-156.468,8.99924,1.05525,2.53252,12.6602
59,300,76,-102.523,12.6479,1.24199,1.75694,13.393
62,285,272,-82.7659,13.3554,2.24744,1.78619,17.5736
63,410,453,47.8555,21.2247,0.371697,1.82795,28.4534
64,422,289,116.563,7.08034,0.641813,0.388329,10.0217
65,53,295,-160.767,7.10755,2.26283,1.489,9.89882
66,152,410,179.188,7.95239,2.02065,0.371697,9.73689
67,272,289,124.244,19.5796,1.78619,0.388329,27.6105
68,88,249,72.3697,20.9597,0.534714,1.52047,21.6132
69,91,357,80.7566,8.40539,0.695919,0.463599,9.35218
70,341,376,-85.9282,4.50771,0.54993,0.657116,5.79157
71,283,14,-105.38,10.2335,1.97874,1.64898,10.3544
72,376,210,56.217,20.5722,0.657116,1.37166,25.9197
73,102,215,70.4023,15.407,0.960198,1.89983,16.3949
74,203,323,-109.957,12.7569,1.07847,1.80489,13.675
75,188,92,-115.047,14.3695,0.687633,2.21385,16.5152
77,416,310,82.0056,8.27082,0.583255,1.96217,9.35107
78,271,319,-94.0123,38.8565,2.01715,2.12158,46.0419
79,81,201,65.6624,17.1879,1.81544,1.20268,19.5486
80,5,449,80.3138,19.3138,1.60997,1.67726,21.3791
81,110,112,2.43603,3.3859,0.793235,1.2982,4.27587
82,239,69,-122.114,26.6146,2.72185,0.815535,33.0792
83,256,200,-123.343,8.59577,2.46133,1.35958,10.8071
84,200,246,29.1105,12.6584,1.35958,0.717982,17.8996
86,136,67,-152.792,20.704,1.87808,2.54402,29.2557
87,175,336,-139.632,13.2593,2.4046,0.431237,18.4022
88,393,158,37.3615,15.2448,1.31808,0.870327,21.342
89,201,403,-62.0277,1.89224,1.20268,0.870607,2.68018
90,268,80,-102.411,25.9004,1.79775,1.84221,27.4231
91,203,304,-133.795,29.3916,1.07847,1.70634,39.7792
92,323,123,-179.424,13.7593,1.80489,0.710437,17.0821
93,134,174,160.358,12.7931,2.50664,0.726381,13.5947
94,371,85,21.967,10.2124,1.05725,3.06446,14.3256
95,154,17,-121.514,15.7372,0.367763,2.54829,19.4261
96,207,86,-133.063,21.6748,1.33989,1.12296,29.2187
97,427,280,30.9771,19.083,0.5004,1.20217,26.9712
98,322,386,124.867,8.11595,2.00078,0.554403,11.4335
99,428,97,130.69,5.04161,1.51572,1.2841,6.98987
100,416,73,-60.2465,11.3546,0.583255,2.8281,16.0833
101,288,77,-52.4487,10.9997,1.14456,1.59963,15.4064
102,222,208,-104.623,0.838157,1.08868,1.42226,0.85726
103,80,447,93.4943,13.6906,1.84221,1.37388,17.5114
104,175,79,-122.416,14.9604,2.4046,0.655888,18.6334
105,229,199,-170.497,16.8067,1.37489,2.00988,22.3581
107,387,230,54.3064,20.0388,0.990545,1.57041,25.6678
108,307,130,-133.011,10.4749,1.05525,2.22652,14.1157
109,218,81,-144.251,28.4467,1.38041,1.81544,39.9749
110,58,287,32.5725,15.0866,1.69359,2.13127,21.2948
111,357,1,-110.184,6.32238,0.463599,0.667705,6.79338
112,304,392,87.6256,11.6848,1.70634,2.221,14.1432
113,318,196,92.138,25.4304,2.53384,1.92511,32.1765
114,407,438,21.5675,15.9092,0.536268,0.837962,22.2924
115,73,183,105.617,15.4476,2.8281,0.96531,21.2984
116,214,249,38.1682,4.7239,1.23095,1.52047,6.60146
117,38,386,64.4439,10.4002,1.9737,0.554403,12.0052
118,315,137,64.6672,18.1504,2.16993,1.88054,20.8845
119,212,275,-104.128,26.3636,0.902772,1.13975,27.1866
120,181,208,132.436,4.6873,2.19468,1.42226,6.45776
121,135,249,59.4346,16.0304,0.487222,1.52047,19.5993
122,253,366,-142.389,22.3932,1.5057,0.411545,31.3412
123,35,346,59.8825,18.119,1.18783,1.10322,22.0314
124,76,307,37.3927,24.1294,1.75694,1.05525,33.7727
125,307,321,-117.242,26.2747,1.05525,2.51098,31.0083
126,364,310,67.7684,8.87765,0.308877,1.96217,9.82446
127,53,259,88.7166,24.2367,2.26283,1.46661,29.666
129,193,407,-116.144,6.04061,1.10524,0.536268,7.03775
130,82,242,56.9237,23.6334,1.05156,1.25847,29.5876
131,348,447,-45.4027,2.55223,1.23506,1.37388,3.48237
132,367,19,-51.9539,17.6045,0.592287,2.11967,24.623
133,414,299,-9.63438,10.3111,0.836441,2.18004,11.3557
134,8,39,152.412,6.86255,1.66732,1.10933,8.09705
135,432,173,-38.8438,1.35994,0.720339,1.51741,1.78398
136,153,75,-44.3478,13.335,1.19624,1.87882,18.0922
137,159,317,-107.916,21.6562,1.83512,2.50369,22.463
138,441,215,108.271,11.3404,1.83109,1.89983,15.7868
139,302,348,97.6989,22.2806,1.90947,1.23506,29.4307
140,86,234,44.4967,27.1624,1.12296,2.01465,37.0533
141,137,214,133.146,13.855,1.88054,1.23095,19.026
142,10,30,10.3374,11.1083,2.22261,2.54249,14.8704
143,15,339,88.3514,11.2942,2.01683,0.444211,13.7774
144,108,400,-149.278,15.1887,1.97088,1.01401,21.4689
145,88,168,78.5813,10.4472,0.534714,1.01711,11.2667
146,255,150,-81.1193,13.4754,2.49985,1.81516,17.9105
147,424,163,39.7395,17.4776,0.376448,2.48688,24.2982
148,449,91,-121.119,12.2223,1.67726,0.695919,15.0318
149,437,113,34.7071,2.48404,1.07266,0.978771,3.49749
150,116,319,-98.4557,13.9029,1.89197,2.12158,15.6296
151,452,97,-133.391,21.7692,0.726054,1.2841,29.4023
152,239,77,-122.945,25.3285,2.72185,1.59963,31.7253
153,66,370,-13.2143,11.3562,2.37246,0.921297,11.8771
154,188,119,-133.465,13.5928,0.687633,0.594544,18.362
155,198,309,-11.094,6.76551,1.85343,2.07309,7.29433
156,244,101,-128.575,25.5443,1.56793,0.833916,33.4879
157,143,0,-122.019,3.16789,0.363411,0.674357,3.92936
158,353,110,-135.707,2.38412,0.942108,0.793235,3.25593
159,262,96,-105.259,24.3647,3.08878,2.42462,24.6225
160,255,253,-17.4188,4.32746,2.49985,1.5057,4.44839
161,213,359,-84.6667,16.3963,1.57228,1.3117,21.2595
162,450,249,83.2013,13.3336,1.27784,1.52047,15.3114
163,182,42,-112.499,17.9156,1.96792,1.65002,19.9111
164,202,15,-110.068,23.6849,1.93161,2.01683,25.4268
165,436,223,72.3357,0.767449,1.14058,0.932138,0.793768
166,308,335,-147.216,20.7147,1.93637,0.429591,29.2381
167,13,86,92.8207,7.08583,1.81345,1.12296,9.01637
168,336,177,38.221,15.0937,0.431237,1.7717,21.0821
169,78,234,41.7317,30.4357,0.879978,2.01465,42.0146
170,227,337,-108.024,16.2917,1.34559,0.485477,16.9492
171,445,251,61.6334,15.4907,0.932443,2.17766,18.5048
172,97,170,59.2768,9.97697,1.2841,0.560438,12.2129
173,155,36,-125.826,17.1269,1.7136,1.37207,21.9706
