i,o,d,azimuth,arc,o_area,d_area,grid_dist,o_km_from_sub,d_km_from_sub,crosses_sub,real_flow,weight
122498,116,104,-167.236,5.35235,1.89197,1.48667,7.25865,2.26769,0.732807,TRUE,15.1048,1.4614006822826437e-5
134738,243,241,-18.0413,1.59737,2.18563,1.16337,1.65821,2.61921,2.08987,FALSE,7.46039,4.3158278984901786e-5
151231,45,399,158.434,8.3116,1.86499,1.42578,9.07575,4.09431,3.85436,TRUE,13.7275,1.0039021109527238e-5
190705,60,32,-17.2206,5.10091,1.63564,1.66754,5.20643,3.60483,1.1385,TRUE,0,2.1778252577881476e-5
189440,117,383,49.1759,2.30285,0.856662,0.665325,3.06147,0.986882,0.00315034,TRUE,50.0757,8.129448692222301e-6
165508,4,276,162.149,0.713239,0.971957,1.02744,0.735091,10.4104,10.2137,FALSE,6.12634,2.274754187692168e-5
169449,173,434,161.341,1.71955,1.51741,1.07103,1.8007,6.17866,4.81823,FALSE,12.5688,2.7242455568164963e-5
58980,322,73,2.73039,4.17629,2.00078,2.8281,5.2895200000000004,3.81077,4.64317,FALSE,16.8378,4.440040411069736e-5
57966,18,373,83.3145,6.6924,1.84612,1.0714,7.70727,5.82835,3.99433,FALSE,0,9.732511966943967e-6
196704,445,364,177.174,2.91494,0.932443,0.308877,3.49483,0.026849,0.0189178,TRUE,55.9158,3.667820106181604e-6
131429,168,307,15.8291,12.328,1.01711,1.05525,16.9541,2.55239,5.19197,FALSE,0,1.9216114711612316e-6
8633,38,45,9.25506,9.1852,1.9737,1.86499,12.2142,4.09113,4.09431,FALSE,4.98304,9.838973219899348e-6
205239,129,383,-68.4461,0.762346,0.559703,0.665325,1.07097,0.486091,0.00315034,TRUE,26.7239,7.080935625498995e-6
792,92,30,-80.1615,4.54029,2.21385,2.54249,6.07792,2.57991,6.31022,FALSE,26.9731,3.678146922678492e-5
1659,255,453,82.5817,1.59921,2.49985,1.82795,1.81883,3.81247,5.41038,FALSE,21.1048,7.648288779400292e-5
12892,146,293,143.839,4.3876,2.00477,2.59383,5.63745,1.97923,3.85785,FALSE,13.3893,3.780635590006956e-5
124555,74,237,97.582,19.8768,1.84235,1.51771,26.2252,2.01766,2.19504,TRUE,0,2.0195524373859847e-6
123496,355,147,21.0193,5.15456,1.57198,2.72202,7.21338,0.717197,1.81458,TRUE,15.4687,2.2357926311202154e-5
59446,196,207,9.44136,6.65952,1.92511,1.33989,8.85727,2.1012,1.82161,FALSE,16.7903,1.02434119869491e-5
119873,280,435,-172.805,2.92254,1.20217,0.938486,3.82956,5.45233,4.1076,FALSE,8.14744,1.2951306909868522e-5
123734,60,35,-18.5364,1.01538,1.63564,1.18783,1.05894,3.60483,2.59025,FALSE,10.4877,3.711177374457978e-5
147995,22,32,102.297,2.04128,1.64582,1.66754,2.77156,3.00058,1.1385,FALSE,11.0781,4.143925432549889e-5
106441,265,262,62.5924,10.9055,1.58783,3.08878,12.8977,1.25016,7.46226,TRUE,0,1.2774044807182326e-5
154196,394,141,-76.2834,3.36444,1.92365,0.499072,4.59762,1.0334700000000001,1.4216,TRUE,125.87,8.782948798499547e-6
45894,205,64,-77.7013,17.4401,1.89795,1.52754,23.6566,1.16475,3.2597,TRUE,0,2.4851898925802537e-6
81657,75,5,-137.312,11.3959,1.87882,1.60997,15.6706,2.74865,6.75794,FALSE,0,6.085074938272695e-6
186096,134,152,172.398,8.4642,2.50664,2.02065,9.58718,2.96603,1.64803,FALSE,5.5301,1.7098263465499656e-5
31266,303,28,0.971704,7.92808,1.72993,1.11409,9.88704,3.09956,5.05333,FALSE,5.53469,6.149408269143763e-6
157832,430,182,-161.8,8.27196,0.855161,1.96792,11.477,3.16252,3.93212,FALSE,12.5342,4.565836283554323e-6
192329,229,195,-165.747,15.968,1.37489,1.31998,21.8017,5.05353,0.65416,TRUE,0,1.8970754475547244e-6
118521,134,188,111.356,6.55555,2.50664,0.687633,9.20523,2.96603,3.77018,FALSE,0,6.317398902587161e-6
187745,373,87,1.00283,6.59206,1.0714,1.61365,8.21974,3.99433,1.87931,FALSE,29.4476,7.863927894517235e-6
163011,44,149,62.1133,15.3583,1.61248,2.86329,18.2271,6.76859,3.907,TRUE,0,6.910908585817975e-6
162424,202,348,175.304,3.96866,1.93161,1.23506,4.65547,2.02615,0.900689,FALSE,29.4178,2.1509763938224264e-5
4135,5,28,95.6869,2.60131,1.60997,1.11409,3.38734,6.75794,5.05333,FALSE,5.63478,2.3560851213053505e-5
70754,391,162,75.686,4.83679,1.30558,0.619892,4.98145,2.46616,0.723947,TRUE,40.2426,6.776075760067478e-6
101904,288,394,95.4345,1.14266,1.14456,1.92365,1.48355,0.00525346,1.0334700000000001,TRUE,80.4943,3.811750207041526e-5
63313,315,18,149.214,4.50794,2.16993,1.84612,5.50674,10.3304,5.82835,FALSE,15.5352,2.9996938305068136e-5
157811,39,74,35.924,7.71606,1.10933,1.84235,10.8348,5.02043,2.01766,FALSE,0,5.7731795571288484e-6
92806,250,454,8.75879,2.22253,1.59183,0.969905,2.94224,1.56047,3.02391,FALSE,14.5517,2.2586636616815362e-5
61565,157,120,-47.8406,9.49405,2.53252,2.06116,13.0937,3.88314,2.52033,TRUE,0,1.3357454666784615e-5
52045,69,46,-107.965,2.43558,0.815535,1.16412,2.5245,4.99634,5.60668,FALSE,13.5176,1.487199844234175e-5
64197,115,120,-109.292,2.46367,2.23047,2.06116,2.6106,2.04891,2.52033,FALSE,18.9161,7.117852120570073e-5
182770,52,448,108.377,12.7861,2.98113,1.17333,17.8092,4.24265,2.81947,TRUE,4.37019,5.51920416131531e-6
82782,347,229,19.7763,15.3019,0.85604,1.37489,21.3388,0.739255,5.05353,FALSE,0,1.3504367604344468e-6
39358,7,62,138.409,8.22878,2.64471,1.69933,10.9807,9.18427,5.06904,FALSE,13.5742,1.2545590666863776e-5
16282,290,220,89.2346,9.40073,2.51167,1.55302,11.5567,1.93567,0.294504,TRUE,0,1.055207529935727e-5
107334,182,198,25.8646,4.55181,1.96792,1.85343,6.42469,3.93212,2.04668,FALSE,8.52965,2.1916175308480814e-5
179291,65,41,5.32258,11.6438,1.85623,1.61688,15.0623,0.121308,2.67068,TRUE,0,6.232651163373173e-6
110883,244,262,73.1568,3.9388,1.56793,3.08878,4.02135,3.72546,7.46226,FALSE,9.25748,5.2300139682794076e-5
93463,241,230,-39.7001,2.11346,1.16337,1.57041,2.79019,2.08987,1.25456,FALSE,17.8718,2.7498007339710565e-5
196650,318,49,78.4209,7.14137,2.53384,2.11431,7.69368,12.2312,5.52689,FALSE,17.282,2.6406814600797472e-5
75538,29,10,-152.008,3.03732,2.01379,2.22261,4.29361,2.14292,2.19968,FALSE,0,4.447793866617788e-5
80794,395,401,79.8698,8.26508,0.62962,0.703904,9.07667,0.578141,0.0151891,TRUE,19.7866,1.6728701468128973e-6
102885,354,79,-134.591,2.79782,1.02028,0.655888,3.79965,1.92504,4.0531,FALSE,59.8486,7.755713523839594e-6
16088,277,18,87.0472,2.11692,2.06588,1.84612,2.54728,7.15624,5.82835,FALSE,0,5.957140147956697e-5
167681,415,265,37.2122,13.6073,0.380204,1.58783,19.0574,0.0395906,1.25016,TRUE,58.9152,8.226002260363042e-7
58290,437,314,-106.304,26.1727,1.07266,1.39732,26.4654,0.335435,7.31635,TRUE,0,1.0638013347611847e-6
31164,177,439,47.3139,4.98791,1.7717,0.838168,6.70918,3.77624,3.79747,FALSE,14.4721,8.40048290085865e-6
11354,115,309,72.8189,8.18474,2.23047,2.07309,8.38407,2.04891,6.59353,FALSE,4.70059,2.0376154993769907e-5
24338,214,346,-101.729,5.07924,1.23095,1.10322,5.44034,0.953186,1.57285,TRUE,11.9386,1.031802435653656e-5
132458,344,424,-121.16,2.28135,0.800883,0.376448,2.80452,3.0775,2.36303,FALSE,15.3869,4.52666402675529e-6
70441,356,208,57.8626,7.32667,1.09758,1.42226,9.10016,0.0349412,0.145462,TRUE,9.92717,5.860456063603048e-6
84102,117,450,22.6054,9.12362,0.856662,1.27784,12.8143,0.986882,0.485445,TRUE,5.3092,2.868109255959778e-6
64763,290,169,142.466,6.46421,2.51167,1.66194,8.39568,1.93567,4.23414,FALSE,12.1022,1.835185810441594e-5
117898,85,278,-131.283,12.0211,3.06446,2.04678,16.025,3.97504,8.81062,FALSE,0,1.2322696490347167e-5
9668,197,149,-119.529,7.20617,0.83963,2.86329,8.72398,3.86621,3.907,FALSE,11.6131,9.843572819549944e-6
73750,59,27,-11.4407,16.4316,1.29884,2.13493,17.6632,2.294,7.74161,TRUE,0,4.469098207335233e-6
169608,440,294,-77.512200000000007,2.61014,0.664025,1.35413,3.54337,3.90222,3.8968,FALSE,7.02011,1.1286609976141883e-5
6396,182,203,19.1474,10.7464,1.96792,1.07847,14.9576,3.93212,4.96176,FALSE,0,4.430134462706558e-6
102532,67,83,32.212,4.05159,2.54402,0.762189,5.72074,4.63756,2.14194,FALSE,12.8384,1.3826400701400616e-5
60628,350,355,-66.7162,4.58408,0.856806,1.57198,6.46183,1.152,0.717197,TRUE,16.5228,8.024438734178236e-6
81104,225,308,-108.023,3.32615,1.70418,1.93637,3.46035,6.52938,6.51226,FALSE,0,4.2453304532187684e-5
64507,387,27,-30.4333,15.4945,0.990545,2.13493,18.878,0.813333,7.74161,TRUE,0,2.9482603258369467e-6
33845,403,414,-156.543,3.67806,0.870607,0.836441,5.17355,0.739885,2.07462,TRUE,11.1398,5.854852783094318e-6
16298,241,224,-16.231,6.92909,1.16337,1.30501,6.97859,2.08987,2.7118,TRUE,0,8.198211002598516e-6
132712,349,172,-60.8989,1.63334,0.917168,1.02292,2.31383,1.1731,0.00428781,FALSE,24.3203,1.5056329001640667e-5
112402,318,7,45.1422,4.90406,2.53384,2.64471,6.66533,12.2312,9.18427,FALSE,27.4546,3.8230443559746846e-5
31406,239,236,-168.166,8.55246,2.72185,1.59041,11.5328,6.60166,2.08377,FALSE,13.1604,1.1720161930189602e-5
68676,77,87,2.27989,5.29534,1.59963,1.61365,6.67966,3.65316,1.87931,FALSE,16.025,1.4685353854066366e-5
9866,6,255,56.7645,6.71339,1.58318,2.49985,8.42874,0.363548,3.81247,TRUE,8.09931,1.7281507326518265e-5
182690,351,148,20.404,1.44866,1.02098,1.30889,2.02397,0.0276385,0.884979,FALSE,67.85,2.20077871362471e-5
130371,323,134,43.0387,4.09445,1.80489,2.50664,5.62322,1.2697,2.96603,FALSE,8.34876,3.3000368366227816e-5
180612,392,387,-74.1886,4.84487,2.221,0.990545,6.68312,1.67258,0.813333,FALSE,6.82619,1.250803332173656e-5
145411,181,207,31.0938,5.55755,2.19468,1.33989,7.85489,4.39728,1.82161,FALSE,6.12165,1.4187039233548744e-5
59896,49,283,83.4353,6.38649,2.11431,1.97874,7.36365,5.52689,0.904707,FALSE,7.48791,2.14593841699861e-5
133530,241,255,29.0833,5.56125,1.16337,2.49985,7.86393,2.08987,3.81247,FALSE,7.74675,1.4012622165816326e-5
160609,328,294,-105.977,1.22757,1.35958,1.35413,1.23455,4.28865,3.8968,FALSE,7.02011,3.335204461723639e-5
32643,52,118,46.7282,9.23397,2.98113,1.94024,12.4513,4.24265,2.02411,FALSE,0,1.5395182859603118e-5
63308,360,80,-8.60742,3.86415,1.05659,1.84221,4.32208,3.01695,2.18003,FALSE,18.013,1.9185762261853593e-5
108797,311,66,-133.515,23.1677,1.56009,2.37246,31.3084,1.19625,4.97651,TRUE,0,1.6118871836791006e-6
164884,15,42,108.029,3.39675,2.01683,1.65002,4.72628,4.5956,1.96048,FALSE,2.86306,2.950158847379297e-5
38645,124,57,-86.2846,7.48493,0.561576,1.56687,9.58799,0.927986,1.22803,TRUE,30.6712,2.9698948390001467e-6
